Date;Platform;Users;Profiled Mentors;Profiled Mentees;Total Profiled;Total Non-Profiled;Mentees Who Initiated Relationship;Mentors Currently in Relationship;Mentors Completed Relationship;Mentors Ever in Relationship;Mentees Currently in Relationship;Mentees Completed Relationship;Mentees Ever in Relationship;No: of Active Relationships;No: of Completed Relationships;Total no. of Request Initiated;Current no. of Requests Pending;Current no. of Requests Accepted;Current no. of Requests Completed;Current no. of Requests Expired;Current no. of Requests Declined;Current no. of Requests Removed;No: of Roundtable;No: of Roundtable Users;No: of Roundtable Posts;No: of Insights;Insight Comments;Connections (Followers and Being Followed);Total Messages;Message Posts;Meetings (Upcoming);Meetings (Completed);Meetings (Deleted);Meetings (Total);Profiled;Mentees who initiated a Request;Mentors in an Active Relationship;Mentees in an Active Relationship;Mentors Completed Relationship;Mentees Completed Relationship;Mentors in either Active or Completed Relationship;Mentees in either Active or Completed Relationship;Number of Active Relationships;Number of Completed Relationships;;;;;;;
10/19/20;Company_28;489;279;234;302;187;22;4;11;14;4;11;15;4;11;;;;;;;;6;27;13;47;7;17100.00%;6100.00%;7800.00%;0.00%;100.00%;0.00%;100.00%;61.76%;9.40%;1.43%;1.71%;3.94%;4.70%;5.02%;6.41%;4;11;;;;;;;
10/19/20;Company_30;6;4;5;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;14;3;35;27;6;1;4600.00%;6300.00%;0.00%;100.00%;0.00%;100.00%;83.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/19/20;Company_32;4;3;2;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/19/20;Company_36;1950;525;737;1846;104;416;14;333;338;13;280;290;14;685;;;;;;;;18;430;77;303;144;2111;2448;4141;0;25;1;26;94.67%;56.45%;2.67%;1.76%;63.43%;37.99%;64.38%;39.35%;14;685;;;;;;;
10/19/20;Company_42;117;79;75;90;27;15;9;13;20;10;10;20;11;13;;;;;;;;10;28;61;28;17;2000.00%;9000.00%;25000.00%;900.00%;1700.00%;200.00%;2800.00%;76.92%;20.00%;11.39%;13.33%;16.46%;13.33%;25.32%;26.67%;11;13;;;;;;;
10/19/20;Company_43;85;42;42;84;1;0;7;0;7;7;0;7;7;0;;;;;;;;0;0;0;8;0;4;11;11;0;0;0;0;98.82%;0.00%;16.67%;16.67%;0.00%;0.00%;16.67%;16.67%;7;0;;;;;;;
10/19/20;Company_46;247;116;121;239;8;3;112;3;113;113;6;114;117;7;;;;;;;;5;57;21;33;43;373;253;500;21;44;4;69;96.76%;2.48%;96.55%;93.39%;2.59%;4.96%;97.41%;94.21%;117;7;;;;;;;
10/19/20;Company_54;33;17;15;32;1;2;3;0;3;2;0;2;3;0;;;;;;;;2;3;0;11;1;600.00%;1100.00%;1300.00%;0.00%;200.00%;0.00%;200.00%;96.97%;13.33%;17.65%;13.33%;0.00%;0.00%;17.65%;13.33%;3;0;;;;;;;
10/19/20;Company_55;353;149;130;198;155;12;10;0;10;11;0;11;11;0;;;;;;;;0;0;0;0;0;59;230;300;0;3;0;3;56.09%;9.23%;6.71%;8.46%;0.00%;0.00%;6.71%;8.46%;11;0;;;;;;;
10/19/20;Company_56;505;260;199;418;87;29;2;104;104;2;122;122;2;149;;;;;;;;9;50;35;71;23;168;363;844;0;50;6;56;82.77%;14.57%;0.77%;1.01%;40.00%;61.31%;40.00%;61.31%;2;149;;;;;;;
10/19/20;Company_58;73;36;50;73;0;18;17;23;33;24;24;43;25;28;;;;;;;;5;5;14;11;0;37;76;130;0;83;6;89;100.00%;36.00%;47.22%;48.00%;63.89%;48.00%;91.67%;86.00%;25;28;;;;;;;
10/19/20;Company_60;32;21;8;23;9;1;0;1;1;0;1;1;0;1;;;;;;;;0;0;0;0;0;100.00%;500.00%;1100.00%;0.00%;0.00%;0.00%;0.00%;71.88%;12.50%;0.00%;0.00%;4.76%;12.50%;4.76%;12.50%;0;1;;;;;;;
10/19/20;Company_61;164;73;73;146;18;0;2;55;57;2;55;57;2;55;;;;;;;;0;0;0;15;15;6300.00%;10900.00%;13800.00%;0.00%;700.00%;0.00%;700.00%;89.02%;0.00%;2.74%;2.74%;75.34%;75.34%;78.08%;78.08%;2;55;;;;;;;
10/19/20;Company_62;118;51;54;82;36;3;0;4;4;0;4;4;0;5;;;;;;;;1;3;2;22;5;64;117;227;0;23;2;25;69.49%;5.56%;0.00%;0.00%;7.84%;7.41%;7.84%;7.41%;0;5;;;;;;;
10/19/20;Company_64;15;13;12;14;1;5;4;0;4;2;0;2;4;0;;;;;;;;3;5;2;16;0;0;1100.00%;1300.00%;0.00%;800.00%;0.00%;800.00%;93.33%;41.67%;30.77%;16.67%;0.00%;0.00%;30.77%;16.67%;4;0;;;;;;;
10/19/20;Company_65;183;115;105;154;29;20;17;26;31;14;26;27;19;41;;;;;;;;30;25;25;39;13;148;196;396;2;118;16;136;84.15%;19.05%;14.78%;13.33%;22.61%;24.76%;26.96%;25.71%;19;41;;;;;;;
10/19/20;Company_68;6;2;2;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;83.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/19/20;Company_71;203;102;102;202;1;1;10;2;11;10;2;12;10;2;;;;;;;;2;3;1;10;2;0;1300.00%;1400.00%;100.00%;100.00%;0.00%;200.00%;99.51%;0.98%;9.80%;9.80%;1.96%;1.96%;10.78%;11.76%;10;2;;;;;;;
10/19/20;Company_72;3596;1834;2213;3149;447;60;0;26;26;0;27;27;0;33;;;;;;;;2;24;6;25;5;14400.00%;18200.00%;27800.00%;0.00%;100.00%;0.00%;100.00%;87.57%;2.71%;0.00%;0.00%;1.42%;1.22%;1.42%;1.22%;0;33;;;;;;;
10/19/20;Company_74;38;14;9;23;15;1;0;0;0;0;0;0;0;2;;;;;;;;0;0;0;3;1;1;7;7;0;6;0;6;60.53%;11.11%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;2;;;;;;;
10/19/20;Company_75;35158;2450;2787;3420;31738;308;44;225;267;36;223;256;46;303;;;;;;;;34;297;395;219;139;971;1107;1738;0;40;1;41;9.73%;11.05%;1.80%;1.29%;9.18%;8.00%;10.90%;9.19%;46;303;;;;;;;
10/19/20;Company_76;71;33;22;66;5;7;6;1;7;5;1;6;7;1;;;;;;;;4;9;14;2;1;41;28;48;0;1;0;1;92.96%;31.82%;18.18%;22.73%;3.03%;4.55%;21.21%;27.27%;7;1;;;;;;;
10/26/20;Company_01;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_02;4;3;4;4;0;1;0;0;0;0;0;0;0;0;;;;;;;;1;1;0;10;0;0.00%;100.00%;100.00%;0.00%;0.00%;0.00%;0.00%;100.00%;25.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_05;223;94;139;176;47;28;17;0;17;18;0;18;24;0;;;;;;;;0;0;0;18;2;6100.00%;7000.00%;13200.00%;100.00%;500.00%;0.00%;600.00%;78.92%;20.14%;18.09%;12.95%;0.00%;0.00%;18.09%;12.95%;24;0;;;;;;;
10/26/20;Company_08;52;21;26;42;10;6;0;8;8;0;13;13;0;14;;;;;;;;1;2;4;1;0;5;27;41;0;1;0;1;80.77%;23.08%;0.00%;0.00%;38.10%;50.00%;38.10%;50.00%;0;14;;;;;;;
10/26/20;Company_09;3;2;2;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;2;0;200.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_10;5;3;4;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;10;0;1;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_12;57;40;11;44;13;2;0;3;3;0;1;1;0;3;;;;;;;;0;0;0;0;0;200.00%;600.00%;700.00%;0.00%;0.00%;0.00%;0.00%;77.19%;18.18%;0.00%;0.00%;7.50%;9.09%;7.50%;9.09%;0;3;;;;;;;
10/26/20;Company_14;2543;81;91;147;2396;29;25;21;42;24;20;43;26;26;;;;;;;;18;45;26;22;3;5800.00%;14900.00%;30000.00%;0.00%;700.00%;0.00%;700.00%;5.78%;31.87%;30.86%;26.37%;25.93%;21.98%;51.85%;47.25%;26;26;;;;;;;
10/26/20;Company_15;873;450;638;787;86;114;22;125;143;23;118;136;24;133;;;;;;;;3;6;1;46;10;31400.00%;48300.00%;72500.00%;0.00%;600.00%;0.00%;600.00%;90.15%;17.87%;4.89%;3.61%;27.78%;18.50%;31.78%;21.32%;24;133;;;;;;;
10/26/20;Company_18;92;50;9;69;23;0;0;0;0;0;0;0;0;0;;;;;;;;6;25;26;14;2;83;25;39;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_19;4;3;3;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;10;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_22;258;147;133;171;87;32;20;29;45;16;29;39;22;81;;;;;;;;41;47;191;218;64;22400.00%;41400.00%;64500.00%;100.00%;18500.00%;2400.00%;21000.00%;66.28%;24.06%;13.61%;12.03%;19.73%;21.80%;30.61%;29.32%;22;81;;;;;;;
10/26/20;Company_25;3;1;2;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;1;9;0;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_26;2376;1488;1827;2322;54;476;40;305;337;38;372;401;42;536;;;;;;;;21;347;181;176;71;1921;2868;4326;0;16;2;18;97.73%;26.05%;2.69%;2.08%;20.50%;20.36%;22.65%;21.95%;42;536;;;;;;;
10/26/20;Company_27;393;64;325;382;11;97;3;39;42;3;81;84;3;92;;;;;;;;1;4;1;6;1;13200.00%;35300.00%;59300.00%;0.00%;700.00%;0.00%;700.00%;97.20%;29.85%;4.69%;0.92%;60.94%;24.92%;65.62%;25.85%;3;92;;;;;;;
10/26/20;Company_28;489;279;234;302;187;22;4;11;14;4;11;15;4;11;;;;;;;;6;27;13;47;7;17100.00%;6100.00%;7900.00%;0.00%;100.00%;0.00%;100.00%;61.76%;9.40%;1.43%;1.71%;3.94%;4.70%;5.02%;6.41%;4;11;;;;;;;
10/26/20;Company_30;6;4;5;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;14;3;35;27;6;1;46;63;0;1;0;1;83.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_32;4;3;2;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_36;1950;524;732;1845;105;409;10;333;337;10;280;286;10;687;;;;;;;;18;429;77;303;144;2111;2448;4151;0;25;1;26;94.62%;55.87%;1.91%;1.37%;63.55%;38.25%;64.31%;39.07%;10;687;;;;;;;
10/26/20;Company_42;121;82;80;95;26;17;11;13;22;12;10;22;13;13;;;;;;;;10;32;63;32;17;2100.00%;10100.00%;28300.00%;1200.00%;1800.00%;300.00%;3300.00%;78.51%;21.25%;13.41%;15.00%;15.85%;12.50%;26.83%;27.50%;13;13;;;;;;;
10/26/20;Company_43;100;45;48;90;10;4;11;0;11;12;0;12;12;0;;;;;;;;0;0;0;13;1;900.00%;2000.00%;3800.00%;0.00%;0.00%;0.00%;0.00%;90.00%;8.33%;24.44%;25.00%;0.00%;0.00%;24.44%;25.00%;12;0;;;;;;;
10/26/20;Company_46;247;118;122;239;8;4;111;6;116;112;9;116;116;18;;;;;;;;5;63;27;34;46;37600.00%;28600.00%;55800.00%;2400.00%;6600.00%;1600.00%;10600.00%;96.76%;3.28%;94.07%;91.80%;5.08%;7.38%;98.31%;95.08%;116;18;;;;;;;
10/26/20;Company_54;33;17;15;32;1;2;3;0;3;2;0;2;3;0;;;;;;;;2;3;0;11;1;6;11;13;0;2;0;2;96.97%;13.33%;17.65%;13.33%;0.00%;0.00%;17.65%;13.33%;3;0;;;;;;;
10/26/20;Company_55;364;154;136;206;158;15;12;1;12;12;1;13;12;1;;;;;;;;0;0;0;0;0;68;246;326;0;3;0;3;56.59%;11.03%;7.79%;8.82%;0.65%;0.74%;7.79%;9.56%;12;1;;;;;;;
10/26/20;Company_56;503;258;197;416;87;28;2;104;104;2;122;122;2;149;;;;;;;;9;50;35;71;23;16800.00%;36300.00%;84400.00%;0.00%;5000.00%;600.00%;5600.00%;82.70%;14.21%;0.78%;1.02%;40.31%;61.93%;40.31%;61.93%;2;149;;;;;;;
10/26/20;Company_58;73;36;50;73;0;18;17;23;33;24;24;43;25;28;;;;;;;;5;5;14;11;0;3700.00%;7600.00%;13100.00%;0.00%;8300.00%;600.00%;8900.00%;100.00%;36.00%;47.22%;48.00%;63.89%;48.00%;91.67%;86.00%;25;28;;;;;;;
10/26/20;Company_60;54;36;8;38;16;1;0;1;1;0;1;1;0;1;;;;;;;;0;0;0;0;0;1;5;11;0;0;0;0;70.37%;12.50%;0.00%;0.00%;2.78%;12.50%;2.78%;12.50%;0;1;;;;;;;
10/26/20;Company_61;164;73;73;146;18;0;2;55;57;2;55;57;2;55;;;;;;;;0;0;0;15;15;63;109;138;0;7;0;7;89.02%;0.00%;2.74%;2.74%;75.34%;75.34%;78.08%;78.08%;2;55;;;;;;;
10/26/20;Company_62;118;51;55;83;35;4;0;4;4;0;4;4;0;5;;;;;;;;1;3;2;22;5;6400.00%;11800.00%;22800.00%;0.00%;2300.00%;200.00%;2500.00%;70.34%;7.27%;0.00%;0.00%;7.84%;7.27%;7.84%;7.27%;0;5;;;;;;;
10/26/20;Company_64;15;13;12;14;1;5;4;0;4;2;0;2;4;0;;;;;;;;3;5;2;16;0;0;12;14;0;8;0;8;93.33%;41.67%;30.77%;16.67%;0.00%;0.00%;30.77%;16.67%;4;0;;;;;;;
10/26/20;Company_65;153;92;87;124;29;13;16;21;25;13;20;20;18;35;;;;;;;;30;18;25;39;13;14800.00%;19600.00%;39600.00%;0.00%;12000.00%;1600.00%;13600.00%;81.05%;14.94%;17.39%;14.94%;22.83%;22.99%;27.17%;22.99%;18;35;;;;;;;
10/26/20;Company_68;6;2;2;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;83.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
10/26/20;Company_71;203;102;102;202;1;1;0;11;11;0;12;12;0;12;;;;;;;;2;3;1;10;2;0;13;14;0;2;0;2;99.51%;0.98%;0.00%;0.00%;10.78%;11.76%;10.78%;11.76%;0;12;;;;;;;
10/26/20;Company_72;3596;1834;2213;3149;447;60;0;26;26;0;27;27;0;33;;;;;;;;2;24;6;25;5;144;182;278;0;1;0;1;87.57%;2.71%;0.00%;0.00%;1.42%;1.22%;1.42%;1.22%;0;33;;;;;;;
10/26/20;Company_74;43;15;5;27;16;1;0;0;0;0;0;0;0;2;;;;;;;;0;0;0;3;1;100.00%;700.00%;700.00%;0.00%;600.00%;0.00%;600.00%;62.79%;20.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;2;;;;;;;
10/26/20;Company_75;35201;2454;2792;3425;31776;309;46;225;268;37;223;257;48;303;;;;;;;;34;297;395;219;140;971;111000.00%;174500.00%;0.00%;4000.00%;100.00%;4100.00%;9.73%;11.07%;1.87%;1.33%;9.17%;7.99%;10.92%;9.20%;48;303;;;;;;;
10/26/20;Company_76;71;33;22;66;5;7;6;1;7;5;1;6;7;1;;;;;;;;4;9;14;2;1;4100.00%;2800.00%;4800.00%;0.00%;100.00%;0.00%;100.00%;92.96%;31.82%;18.18%;22.73%;3.03%;4.55%;21.21%;27.27%;7;1;;;;;;;
11/02/20;Company_01;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_02;4;3;4;4;0;1;0;0;0;0;0;0;0;0;;;;;;;;1;1;0;10;0;0.00%;100.00%;100.00%;0.00%;0.00%;0.00%;0.00%;100.00%;25.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_05;222;96;135;177;45;28;20;0;20;22;0;22;29;0;;;;;;;;1;3;1;21;3;6700.00%;7700.00%;16000.00%;600.00%;600.00%;0.00%;1200.00%;79.73%;20.74%;20.83%;16.30%;0.00%;0.00%;20.83%;16.30%;29;0;;;;;;;
11/02/20;Company_08;52;21;26;42;10;6;0;8;8;0;13;13;0;14;;;;;;;;1;2;4;1;0;5;27;41;0;1;0;1;80.77%;23.08%;0.00%;0.00%;38.10%;50.00%;38.10%;50.00%;0;14;;;;;;;
11/02/20;Company_09;4;3;3;3;1;1;1;0;1;1;0;1;1;0;;;;;;;;0;0;0;2;0;2;2;2;0;0;0;0;75.00%;33.33%;33.33%;33.33%;0.00%;0.00%;33.33%;33.33%;1;0;;;;;;;
11/02/20;Company_10;5;3;4;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;10;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_12;57;40;11;44;13;2;0;3;3;0;1;1;0;3;;;;;;;;0;0;0;0;0;200.00%;600.00%;700.00%;0.00%;0.00%;0.00%;0.00%;77.19%;18.18%;0.00%;0.00%;7.50%;9.09%;7.50%;9.09%;0;3;;;;;;;
11/02/20;Company_14;2570;81;91;147;2423;29;25;22;42;24;21;43;26;27;;;;;;;;18;45;26;23;3;5800.00%;15100.00%;30200.00%;0.00%;700.00%;0.00%;700.00%;5.72%;31.87%;30.86%;26.37%;27.16%;23.08%;51.85%;47.25%;26;27;;;;;;;
11/02/20;Company_15;872;450;637;786;86;114;21;126;143;22;119;136;23;134;;;;;;;;3;6;1;46;10;314;48300.00%;72500.00%;0.00%;600.00%;0.00%;600.00%;90.14%;17.90%;4.67%;3.45%;28.00%;18.68%;31.78%;21.35%;23;134;;;;;;;
11/02/20;Company_18;92;50;9;69;23;0;0;0;0;0;0;0;0;0;;;;;;;;6;25;26;14;2;83;25;39;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_19;4;3;3;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;10;0;1;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_22;259;148;133;172;87;32;20;29;45;16;29;39;22;81;;;;;;;;41;47;193;232;67;225;414;645;0;186;24;210;66.41%;24.06%;13.51%;12.03%;19.59%;21.80%;30.41%;29.32%;22;81;;;;;;;
11/02/20;Company_25;3;1;2;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;1;9;0;0;0;0;0;0;0;0;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_26;2391;1493;1838;2333;58;481;42;308;342;41;375;404;45;539;;;;;;;;21;348;182;179;71;193600.00%;290000.00%;437400.00%;0.00%;1600.00%;200.00%;1800.00%;97.57%;26.17%;2.81%;2.23%;20.63%;20.40%;22.91%;21.98%;45;539;;;;;;;
11/02/20;Company_27;395;66;327;384;11;98;3;39;42;3;81;84;3;92;;;;;;;;1;4;1;6;1;132;354;594;0;7;0;7;97.22%;29.97%;4.55%;0.92%;59.09%;24.77%;63.64%;25.69%;3;92;;;;;;;
11/02/20;Company_28;489;279;234;302;187;22;2;13;14;2;13;15;2;13;;;;;;;;6;27;13;47;7;171;61;79;0;1;0;1;61.76%;9.40%;0.72%;0.85%;4.66%;5.56%;5.02%;6.41%;2;13;;;;;;;
11/02/20;Company_30;6;4;5;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;14;3;35;27;6;1;46;63;0;1;0;1;83.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_32;4;3;2;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_36;1951;524;727;1846;105;403;9;334;337;9;275;280;9;688;;;;;;;;18;429;77;303;144;211100.00%;244800.00%;415100.00%;0.00%;2500.00%;100.00%;2600.00%;94.62%;55.43%;1.72%;1.24%;63.74%;37.83%;64.31%;38.51%;9;688;;;;;;;
11/02/20;Company_42;124;86;83;99;25;20;17;15;27;17;12;28;22;15;;;;;;;;10;34;67;34;20;23;129;350;9;20;4;33;79.84%;24.10%;19.77%;20.48%;17.44%;14.46%;31.40%;33.73%;22;15;;;;;;;
11/02/20;Company_43;109;45;49;91;18;8;12;0;12;13;0;13;13;0;;;;;;;;1;5;1;13;1;19;30;52;0;0;0;0;83.49%;16.33%;26.67%;26.53%;0.00%;0.00%;26.67%;26.53%;13;0;;;;;;;
11/02/20;Company_46;246;119;122;240;6;4;112;9;117;112;10;116;116;22;;;;;;;;5;65;30;37;52;383;295;581;30;82;19;131;97.56%;3.28%;94.12%;91.80%;7.56%;8.20%;98.32%;95.08%;116;22;;;;;;;
11/02/20;Company_54;33;17;15;32;1;2;2;1;3;2;0;2;2;1;;;;;;;;2;3;0;11;1;6;11;13;0;2;0;2;96.97%;13.33%;11.76%;13.33%;5.88%;0.00%;17.65%;13.33%;2;1;;;;;;;
11/02/20;Company_55;371;159;138;211;160;15;11;1;12;12;2;14;12;2;;;;;;;;0;0;0;0;0;69;252;338;0;3;0;3;56.87%;10.87%;6.92%;8.70%;0.63%;1.45%;7.55%;10.14%;12;2;;;;;;;
11/02/20;Company_56;503;258;197;416;87;28;2;104;104;2;122;122;2;149;;;;;;;;9;50;35;71;23;16800.00%;36300.00%;84400.00%;0.00%;5000.00%;600.00%;5600.00%;82.70%;14.21%;0.78%;1.02%;40.31%;61.93%;40.31%;61.93%;2;149;;;;;;;
11/02/20;Company_58;74;36;51;74;0;18;16;23;33;23;25;43;24;29;;;;;;;;5;5;14;11;0;3700.00%;7600.00%;13100.00%;0.00%;8500.00%;600.00%;9100.00%;100.00%;35.29%;44.44%;45.10%;63.89%;49.02%;91.67%;84.31%;24;29;;;;;;;
11/02/20;Company_60;58;39;10;41;17;1;0;1;1;0;1;1;0;1;;;;;;;;0;0;0;0;0;100.00%;500.00%;1100.00%;0.00%;0.00%;0.00%;0.00%;70.69%;10.00%;0.00%;0.00%;2.56%;10.00%;2.56%;10.00%;0;1;;;;;;;
11/02/20;Company_61;164;73;73;146;18;0;1;56;57;1;56;57;1;56;;;;;;;;0;0;0;15;15;63;109;138;0;7;0;7;89.02%;0.00%;1.37%;1.37%;76.71%;76.71%;78.08%;78.08%;1;56;;;;;;;
11/02/20;Company_62;118;51;55;83;35;4;0;4;4;0;4;4;0;5;;;;;;;;1;3;2;22;5;6400.00%;11900.00%;22900.00%;0.00%;2300.00%;200.00%;2500.00%;70.34%;7.27%;0.00%;0.00%;7.84%;7.27%;7.84%;7.27%;0;5;;;;;;;
11/02/20;Company_64;15;13;12;14;1;5;4;0;4;2;0;2;4;0;;;;;;;;3;5;2;16;0;0;1200.00%;1400.00%;0.00%;800.00%;0.00%;800.00%;93.33%;41.67%;30.77%;16.67%;0.00%;0.00%;30.77%;16.67%;4;0;;;;;;;
11/02/20;Company_65;153;92;87;124;29;13;15;21;25;13;20;20;17;36;;;;;;;;30;18;25;39;13;14800.00%;19600.00%;39600.00%;0.00%;12100.00%;1600.00%;13700.00%;81.05%;14.94%;16.30%;14.94%;22.83%;22.99%;27.17%;22.99%;17;36;;;;;;;
11/02/20;Company_68;6;2;2;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;83.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/02/20;Company_71;203;102;102;202;1;1;0;11;11;0;12;12;0;12;;;;;;;;2;3;1;10;2;0;13;14;0;2;0;2;99.51%;0.98%;0.00%;0.00%;10.78%;11.76%;10.78%;11.76%;0;12;;;;;;;
11/02/20;Company_72;3596;1835;2214;3150;446;60;0;26;26;0;27;27;0;33;;;;;;;;2;24;6;25;5;14400.00%;18200.00%;27800.00%;0.00%;100.00%;0.00%;100.00%;87.60%;2.71%;0.00%;0.00%;1.42%;1.22%;1.42%;1.22%;0;33;;;;;;;
11/02/20;Company_74;51;21;6;33;18;2;0;0;0;0;0;0;0;2;;;;;;;;0;0;0;4;1;1;8;9;0;6;0;6;64.71%;33.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;2;;;;;;;
11/02/20;Company_75;35256;2456;2797;3431;31825;310;44;227;268;35;225;257;46;305;;;;;;;;34;297;395;220;142;984;1112;1747;0;40;1;41;9.73%;11.08%;1.79%;1.25%;9.24%;8.04%;10.91%;9.19%;46;305;;;;;;;
11/02/20;Company_76;71;33;22;66;5;7;6;1;7;5;1;6;7;1;;;;;;;;4;9;14;2;1;4100.00%;2800.00%;4800.00%;0.00%;100.00%;0.00%;100.00%;92.96%;31.82%;18.18%;22.73%;3.03%;4.55%;21.21%;27.27%;7;1;;;;;;;
11/09/20;Company_01;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/09/20;Company_02;4;3;4;4;0;1;0;0;0;0;0;0;0;0;;;;;;;;1;1;0;10;0;0.00%;100.00%;100.00%;0.00%;0.00%;0.00%;0.00%;100.00%;25.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
11/09/20;Company_05;324;105;210;252;72;39;21;0;21;23;0;23;30;0;;;;;;;;1;5;1;21;2;8800.00%;9700.00%;18900.00%;0.00%;1300.00%;0.00%;1300.00%;77.78%;18.57%;20.00%;10.95%;0.00%;0.00%;20.00%;10.95%;30;0;;;;;;;
11/09/20;Company_08;52;21;26;42;10;6;0;8;8;0;13;13;0;14;;;;;;;;1;2;4;1;0;500.00%;2700.00%;4100.00%;0.00%;100.00%;0.00%;100.00%;80.77%;23.08%;0.00%;0.00%;38.10%;50.00%;38.10%;50.00%;0;14;;;;;;;
